Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Marked as,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Gene ID,# Razor Peptides,"Abundances (Normalized): F1: Sample, Flg22","Abundances (Normalized): F2: Sample, Flg22","Abundances (Normalized): F3: Sample, Flg22","Abundances (Normalized): F4: Sample, Flg22","Abundances (Normalized): F5: Sample, Mock","Abundances (Normalized): F6: Sample, Mock","Abundances (Normalized): F7: Sample, Mock","Abundances (Normalized): F8: Sample, Mock",Ratio log2(flg22/Mock),T-Test,,,,,,
High,IsMasterProtein,Q9LF46,2-hydroxyacyl-CoA lyase OS=Arabidopsis thaliana OX=3702 GN=HACL PE=1 SV=1,0,Athaliana,151.875,56,28,137,28,572,61.4,6.05,231.78,28,ath:AT5G17380; Q682H7; Q9FNY6; Q9LF46,0,47461705.03,34282865.67,47937756.76,16550056.72,83445094.83,58228784.76,32811230.53,32677371.44,-0.502499904,0.257118589,,,,,,
High,IsMasterProtein,P93736,"Valine--tRNA ligase, mitochondrial 1 OS=Arabidopsis thaliana OX=3702 GN=TWN2 PE=1 SV=2",0,Athaliana,121.788,31,27,71,27,1108,125.8,7.11,140.28,27,ath:AT1G14610; P93736; Q6NPT2; Q8W4A8; Q9MA22,0,6913815.643,23098284.5,20147341.84,10327315.03,17268284.34,33998863.36,12704787.3,18975292.75,-0.455574452,0.289841203,,,,,,
High,IsMasterProtein,Q9T0K5,Leucine-rich repeat extensin-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=LRX3 PE=1 SV=1,0,Athaliana,15.556,6,5,16,4,760,82.2,6.96,15.14,5,ath:AT4G13340; Q9T0K5,0,2043199.926,6835711.788,8518429.498,12126523,2450962.436,14266719.28,19370256.59,40707176.75,-1.379132984,0.143293544,,,,,,
High,IsMasterProtein,A0A1P8B950,NAD(P)H dehydrogenase (Quinone)s OS=Arabidopsis thaliana OX=3702 GN=LTO1 PE=1 SV=1,0,Athaliana,31.257,17,5,25,5,380,41.3,7.91,54.85,5,A0A1P8B950,0,9147084.839,13380369.92,5570262.8,2067614.671,14838947.14,11249287.88,5091944.081,11661840.25,-0.506135011,0.328781637,,,,,,
High,IsMasterProtein,Q9S7Z3,Glutathione gamma-glutamylcysteinyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=PCS1 PE=1 SV=1,0,Athaliana,57.973,36,14,34,14,485,54.4,6.6,47.1,14,ath:AT5G44070; Q8W122; Q9M6R0; Q9S7Z3; Q9XHP8; Q9ZPM2,0,6222874.998,3565307.573,5389116.46,1173962.303,6405793.764,8337882.181,4666263.358,3375061.922,-0.478682519,0.278657607,,,,,,
High,IsMasterProtein,F4IAD5,Eukaryotic aspartyl protease family protein OS=Arabidopsis thaliana OX=3702 GN=At1g05840 PE=1 SV=1,0,Athaliana,73.681,35,13,74,13,485,53.3,6.14,143.65,13,ath:AT1G05840; F4IAD5,0,39560808.26,38419223.81,46645098.91,65554991.8,35519281.27,21573703.08,52448669.31,44640829.75,0.302727596,0.236883978,,,,,,
High,IsMasterProtein,Q38924,Fe(3+)-Zn(2+) purple acid phosphatase 12 OS=Arabidopsis thaliana OX=3702 GN=PAP12 PE=2 SV=3,0,Athaliana,56.173,24,10,52,10,469,54.1,6.43,97.56,10,ath:AT2G27190; Q38924; Q42349; Q540Q7; Q8VZC6; Q9SHS9,0,15486188.62,26645690.07,23055788.99,13474224.24,25630905.46,30555747.15,14318120.23,30640539.56,-0.362692669,0.381934215,,,,,,
High,IsMasterProtein,F4IKB3,"glucan endo-1,3-beta-D-glucosidase OS=Arabidopsis thaliana OX=3702 GN=At2g16230 PE=1 SV=1",0,Athaliana,32.567,8,4,66,1,503,54.1,4.96,80.46,4,ath:AT2G16230; F4IKB3,0,936082.5246,11082214.65,17954056.32,4595765.42,8353253.611,6512575.483,16860930.53,18230543.59,-0.531253501,0.419386633,,,,,,
High,IsMasterProtein,F4IE99,2Fe-2S ferredoxin-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=FDC2 PE=1 SV=1,0.008,Athaliana,2.899,6,1,4,1,194,21.9,6.38,3.56,1,F4IE99,0,,224788.2931,871742.7774,,,1582008.182,1008956.651,,-1.240542742,0.435856183,,,,,,
High,IsMasterProtein,Q8L7B5,"Chaperonin CPN60-like 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g33210 PE=1 SV=1",0,Athaliana,158.672,60,31,207,16,585,61.9,6.68,361.64,31,ath:AT2G33210; O49314; Q8L7B5,0,22617947.8,31455387.76,18127851.62,10009523.32,24602605.3,21119579.57,28185462.89,25999920.56,-0.281267609,0.493934981,,,,,,
High,IsMasterProtein,Q8LCE1,Glutamine synthetase cytosolic isozyme 1-2 OS=Arabidopsis thaliana OX=3702 GN=GLN1-2 PE=1 SV=2,0,Athaliana,302.324,57,22,372,4,356,39.2,5.27,891.24,22,ath:AT1G66200; Q8LCE1; Q9C8C7,19,842936297.2,739576117.5,787667798.7,344251313.6,644606029.9,587827111.7,403677792.9,402733846.3,0.412898146,0.160099538,,,,,,
High,IsMasterProtein,P0DH99,Elongation factor 1-alpha 1 OS=Arabidopsis thaliana OX=3702 GN=A1 PE=1 SV=1,0,Athaliana,112.307,43,16,107,16,449,49.5,9.11,206.8,16,ath:AT1G07920; ath:AT1G07930; ath:AT1G07940; ath:AT5G60390; P0DH99; P13905,0,150000972.8,139400513.4,180357191.6,44268552.95,170355585,304456806.6,89375621.4,190103864.1,-0.553278101,0.388486525,,,,,,
High,IsMasterProtein,Q9SSB5,26S proteasome regulatory subunit 7 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPT1A PE=1 SV=1,0,Athaliana,54.38,34,12,27,12,426,47.8,6.65,47.26,12,ath:AT1G53750; Q9SEI6; Q9SSB5,0,730584.0636,3282274.802,4521583.45,,1568368.641,8475286.674,5525814.264,5935202.813,-0.918243865,0.241539907,,,,,,
High,IsMasterProtein,Q9FKV6,Eukaryotic translation initiation factor 3 subunit D OS=Arabidopsis thaliana OX=3702 GN=At5g44320 PE=1 SV=1,0,Athaliana,29.047,17,9,15,4,588,66.2,5.63,17.53,9,ath:AT5G44320; Q9FKV6,4,4894134.255,2476370.501,1800219.809,,4894126.28,5617492.971,2103384.423,5128768.5,-0.537167619,0.369856506,,,,,,
High,IsMasterProtein,Q9T0A4,"NAD(P)H-quinone oxidoreductase subunit S, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ndhS PE=1 SV=1",0,Athaliana,11.846,11,3,8,3,250,27.7,8.21,8.93,3,ath:AT4G23890; Q93Z46; Q9T0A4,0,25333.28798,1249966.127,669303.1612,1112623.498,575048.2154,1656302.13,,1473080.281,-0.692066076,0.016455627,,,,,,
High,IsMasterProtein,Q6ZY51,"Phosphoglucan, water dikinase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GWD3 PE=1 SV=1",0,Athaliana,175.916,35,30,121,30,1196,131.2,6.24,261.46,30,ath:AT5G26570; O81504; O81505; Q5XMK9; Q6ZY51; Q84TI8,0,36565812.15,25762740.23,33681489.1,11747129.74,74034022.3,42927956.7,31362038,18304281,-0.628849547,0.184248208,,,,,,
High,IsMasterProtein,Q949W8,Xylulose kinase 2 OS=Arabidopsis thaliana OX=3702 GN=XK2 PE=1 SV=1,0,Athaliana,105.727,45,19,94,19,558,61.3,5.53,167.85,19,ath:AT5G49650; Q949W8; Q9LT51,0,21034858.18,50257006.25,51830292.59,38698342.88,31450319.01,53485862.87,73313195.74,52038466.44,-0.377971072,0.04900144,,,,,,
High,IsMasterProtein,Q9FRL8,Glutathione S-transferase DHAR2 OS=Arabidopsis thaliana OX=3702 GN=DHAR2 PE=1 SV=1,0,Athaliana,89.368,73,13,79,13,213,23.4,6.14,174.34,13,ath:AT1G75270; Q8LB28; Q9FRL8,0,54612204.65,31476764.48,30828608.91,21763755.32,44027790.68,27592023.31,18992440.97,14217147.41,0.403730194,0.017444282,,,,,,
High,IsMasterProtein,P93025,Phototropin-2 OS=Arabidopsis thaliana OX=3702 GN=PHOT2 PE=1 SV=2,0,Athaliana,41.357,9,7,22,7,915,102.4,7.42,40.24,7,ath:AT5G58140; O81204; P93025; Q8RWE6,0,479622.3647,4831671.946,1977831.9,1431935.275,1502843.896,8819034.881,1134130.249,8122376.156,-1.166686128,0.199935992,,,,,,
High,IsMasterProtein,Q9LP45,26S proteasome non-ATPase regulatory subunit 11 homolog OS=Arabidopsis thaliana OX=3702 GN=RPN6 PE=1 SV=1,0,Athaliana,47.807,34,11,29,11,419,46.7,6.67,43.41,11,ath:AT1G29150; O81694; Q6XJG1; Q6XJG4; Q9LP45,0,5777718.732,6847732.637,8502540.963,3449892.356,11877358.51,4396463.027,8756806.845,8012213,-0.426976996,0.359696002,,,,,,
High,IsMasterProtein,Q8VZA1,Laccase-11 OS=Arabidopsis thaliana OX=3702 GN=LAC11 PE=2 SV=1,0,Athaliana,9.912,7,3,4,3,557,61.7,8.69,4.03,3,ath:AT5G03260; Q0WM80; Q8VZA1; Q9LYV9,0,746132.8619,,357641.9471,264088.1609,2164634.226,,452247.985,496237.5938,-1.186437387,0.300495136,,,,,,
High,IsMasterProtein,Q96252,"ATP synthase subunit delta', mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g47030 PE=1 SV=1",0,Athaliana,6.119,9,2,6,2,203,21.5,6.7,7.67,2,ath:AT5G47030; Q96252,0,,1773899.249,1131320.009,979312.7762,,337507.1394,76229.99451,2232607.688,0.553739751,0.671898971,,,,,,
High,IsMasterProtein,F4K6Y8,Homoserine dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=At5g21060 PE=1 SV=1,0,Athaliana,36.266,26,9,24,9,378,40.6,6.74,40.72,9,ath:AT5G21060; F4K6Y8,0,62450.99323,6711820.327,2474418.471,158755.7395,446136.0681,5790612.925,2612124.982,4368413.266,-0.490551168,0.458317101,,,,,,
High,IsMasterProtein,Q9SXS7,Bifunctional L-3-cyanoalanine synthase/cysteine synthase D2 OS=Arabidopsis thaliana OX=3702 GN=CYSD2 PE=1 SV=1,0,Athaliana,124.022,56,13,146,10,323,34.3,5.59,284.7,13,ath:AT5G28020; B9DHF3; Q8LEC3; Q9SMY4; Q9SXS7,0,49574433.25,55160134.88,49251323.09,21557080.92,42669478.33,85459661.12,41619218.15,58616163.75,-0.379514292,0.34814424,,,,,,
High,IsMasterProtein,Q1G3L2,Polyketide cyclase / dehydrase and lipid transport protein OS=Arabidopsis thaliana OX=3702 GN=MLBP1 PE=1 SV=1,0,Athaliana,21.324,21,4,8,4,224,25.3,9.86,15.84,4,ath:AT4G01883; Q1G3L2,0,1465315.617,1904427.288,3251844.35,,4110228.173,6045734.079,2014124.113,1767975.875,-0.658743512,0.367828607,,,,,,
High,IsMasterProtein,Q945K9,AT4g34150/F28A23_90 OS=Arabidopsis thaliana OX=3702 GN=At4g34150 PE=1 SV=1,0,Athaliana,47.072,34,6,39,6,247,27,7.39,98.44,6,ath:AT4G34150; Q945K9,0,2730261.853,14170958.92,22523326.56,29814721.58,1246103.584,6426265.473,8310665.288,17438977.13,1.050791928,0.051043795,,,,,,
High,IsMasterProtein,Q9FZC5,Berberine bridge enzyme-like 4 OS=Arabidopsis thaliana OX=3702 GN=FOX2 PE=2 SV=1,0,Athaliana,59.355,28,14,46,7,530,58.9,9.13,66.46,14,ath:AT1G26390; Q949N1; Q9FZC5,2,2267558.195,1429611.577,7592373.089,6515820.69,3820676.558,106454.8294,2046380.902,,1.160623036,0.480621678,,,,,,
High,IsMasterProtein,Q56YU0,Aldehyde dehydrogenase family 2 member C4 OS=Arabidopsis thaliana OX=3702 GN=ALDH2C4 PE=1 SV=2,0,Athaliana,221.32,66,33,301,33,501,54.3,5.69,596.57,33,ath:AT3G24503; Q56YU0; Q9LV57,0,513553709.3,214290865.7,289694576.5,192960033.2,537575038.7,310902654.7,400672430.2,271211457.7,-0.328812367,0.026757258,,,,,,
High,IsMasterProtein,P37702,Myrosinase 1 OS=Arabidopsis thaliana OX=3702 GN=TGG1 PE=1 SV=1,0,Athaliana,506.289,61,43,1654,41,541,61.1,5.92,3474.75,43,ath:AT5G26000; B9DHN6; P37702; Q3E942; Q3V5A7; Q3V5A8; Q3V5A9; Q3V5B1; Q3V5B2; Q3V5B3; Q3V5B4; Q3V5B5; Q3V5B6; Q3V5B7; Q3V5B8; Q3V5B9; Q3V5C0; Q3V5C2; Q3V5C3; Q3V5C4; Q3V5C5; Q3V5C8; Q3V5D1; Q3V5D2; Q8H7H2; Q93Z31; Q940N8,2,14014688426,21616848532,13465194336,19408089808,17520276176,11044055965,15952532951,13759417631,0.233296668,0.502756498,,,,,,
High,IsMasterProtein,Q9FN08,Beta-galactosidase 10 OS=Arabidopsis thaliana OX=3702 GN=BGAL10 PE=2 SV=1,0,Athaliana,38.477,16,9,19,8,741,83,8.4,32.39,9,ath:AT5G63810; Q9FN08; Q9SCV2,0,7277240.277,708473.5561,702584.9515,781170.652,9605949.899,2144924.735,,1348037.953,-0.883129049,0.104900466,,,,,,
High,IsMasterProtein,Q9SRZ6,Cytosolic isocitrate dehydrogenase [NADP] OS=Arabidopsis thaliana OX=3702 GN=CICDH PE=1 SV=1,0,Athaliana,280.173,65,34,393,26,410,45.7,6.57,754.12,34,ath:AT1G65930; Q8L9Z4; Q8RWH2; Q8RYD5; Q9SRZ6,7,1952562613,627566933.7,982825392.1,414751391,2387533120,1240265877,1022356660,842112180.9,-0.465465215,0.05196341,,,,,,
High,IsMasterProtein,P17745,"Elongation factor Tu, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TUFA PE=1 SV=1",0,Athaliana,135.752,36,15,156,14,476,51.6,6.19,311.61,15,ath:AT4G20360; P17745; Q8GTE7,1,260742506.5,151363215.1,157427642.1,116226987.9,215703093.7,214683187.7,187867718,175572664.7,-0.211119528,0.360802228,,,,,,
High,IsMasterProtein,Q9XIB5,B3 domain-containing protein REM19 OS=Arabidopsis thaliana OX=3702 GN=REM19 PE=1 SV=1,0,Athaliana,9.409,10,2,6,2,226,25.8,9.13,10.44,2,ath:AT1G49480; Q94B43; Q9XIB5,0,506161.5741,4269658.321,2565827.213,,2284033.167,4395310.092,3384608.64,6262131,-0.737965514,0.198665269,,,,,,
High,IsMasterProtein,Q8L7C9,Glutathione S-transferase U20 OS=Arabidopsis thaliana OX=3702 GN=GSTU20 PE=1 SV=1,0,Athaliana,89.088,58,17,122,14,217,25,5.78,183.85,17,ath:AT1G78370; Q8L7C9; Q8LBS3; Q9M9F4,1,170097592.7,79535858.19,112722553.7,118110626.3,239581869,128125257,136960035,108342272.9,-0.351473039,0.146875253,,,,,,
High,IsMasterProtein,P92947,"Monodehydroascorbate reductase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MDAR5 PE=1 SV=3",0,Athaliana,148.478,56,22,204,22,493,53.3,8.02,394.48,22,ath:AT1G63940; P92947; Q94CE2; Q9CAK5,0,172977067.3,124552814.7,186296986.6,55355805.29,108563231.6,222163860,172704499.9,195782116,-0.37495933,0.462259746,,,,,,
High,IsMasterProtein,O65351,Subtilisin-like protease SBT1.7 OS=Arabidopsis thaliana OX=3702 GN=SBT1.7 PE=1 SV=1,0,Athaliana,347.914,44,29,535,29,757,79.4,6.35,1223.98,29,ath:AT5G67360; O65351; P80854; Q39007; Q8RWQ7,0,520038022.5,1409437357,1965401636,3066894575,1042718011,2397499131,4178106230,2866082715,-0.590718752,0.180732927,,,,,,
High,IsMasterProtein,Q9SXB8,G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330 OS=Arabidopsis thaliana OX=3702 GN=At1g11330 PE=1 SV=3,0,Athaliana,25.719,8,7,29,7,842,94.3,7.96,39.79,7,ath:AT1G11330; Q0TV72; Q9SXB8,0,7865113.572,5450622.604,7468026.047,9805896.472,2591414.92,2424611.084,11265024.54,7929431.625,0.337412198,0.469365679,,,,,,
High,IsMasterProtein,A8MQW3,AT2G21270 protein OS=Arabidopsis thaliana OX=3702 GN=UFD1 PE=1 SV=1,0,Athaliana,36.054,25,7,39,4,340,37.7,7.06,64.66,7,A8MQW3; ath:AT2G21270,2,12024119.08,19058252.11,17296710.29,10033089,12862637.48,17040003.22,17070347.92,22805981.13,-0.256523303,0.460112431,,,,,,
High,IsMasterProtein,Q9SR19,"Rubisco accumulation factor 1.2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RAF1.2 PE=1 SV=1",0,Athaliana,54.261,33,13,50,13,449,50.2,5.96,81.71,13,ath:AT3G04550; Q9SR19,0,16141687.27,6157729.698,14901522.73,1485350.391,16869852.39,15929131.14,18651554.58,5581627.094,-0.55995342,0.093237506,,,,,,
High,IsMasterProtein,Q9LT08,26S proteasome non-ATPase regulatory subunit 14 homolog OS=Arabidopsis thaliana OX=3702 GN=RPN11 PE=1 SV=1,0,Athaliana,20.759,22,6,18,6,308,34.3,6.8,25.07,6,ath:AT5G23540; Q0WQQ6; Q8LD11; Q9LT08,0,6333994.642,7435522.283,3435003.813,2411421.664,4128387.433,8095463.098,5747341.72,6879932.875,-0.341284523,0.420943288,,,,,,
High,IsMasterProtein,A0A1P8BAR6,Reduced lateral root formation OS=Arabidopsis thaliana OX=3702 GN=RLF PE=1 SV=1,0,Athaliana,8.982,8,2,10,2,257,29,8.97,13.08,2,A0A1P8BAR6,0,,1323333.866,427618.0324,,,1615654.079,1578689.889,2248648.5,-1.051298088,0.341674355,,,,,,
High,IsMasterProtein,Q0WW94,Kanadaptin-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g38840 PE=1 SV=1,0,Athaliana,10.598,3,2,11,2,735,82.1,5.12,13.8,2,ath:AT5G38840; Q0WW94,0,13379094.71,7654992.549,17013447.52,8609210.242,26231874.84,20296277.84,29160630.01,5532744.5,-0.799776492,0.114019818,,,,,,
High,IsMasterProtein,O04951,Serine/threonine-protein phosphatase PP2A-5 catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=PP2A5 PE=1 SV=1,0,Athaliana,27.122,25,6,17,2,307,35,5.01,39.67,6,ath:AT1G69960; O04951; Q1EC63; Q42544,1,1701274.802,218410.0435,,,4063610.85,3104013.374,2723041.571,2296233.438,-1.666389713,0.063267667,,,,,,
High,IsMasterProtein,Q9LF68,"Protein BOLA4, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=BOLA4 PE=1 SV=1",0,Athaliana,81.753,44,4,73,4,177,19.5,9.6,226.27,4,ath:AT5G17560; Q9LF68,0,20900963.19,57719503.75,37135124.13,24863791.25,18181882.6,71352271.13,53919301.71,81346101.91,-0.676843732,0.192468641,,,,,,
High,IsMasterProtein,A0A1P8B687,Inosine triphosphate pyrophosphatase OS=Arabidopsis thaliana OX=3702 GN=At4g13720 PE=1 SV=1,0,Athaliana,7.962,12,2,4,2,219,23.9,5.99,8.9,2,A0A1P8B687,0,,1092458.46,2247617.876,,551525.8473,1294791.454,1885854.157,546885.1875,0.642588298,0.824645663,,,,,,
High,IsMasterProtein,Q9LD57,"Phosphoglycerate kinase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGK1 PE=1 SV=1",0,Athaliana,449.59,77,47,795,24,481,50.1,6.24,1834.95,47,ath:AT3G12780; Q9LD57,22,7595358200,4849003197,4796791677,2881127546,4601841100,5063293839,2366498629,3263323631,0.395737757,0.262610284,,,,,,
High,IsMasterProtein,Q8VY22,Protein trichome birefringence-like 38 OS=Arabidopsis thaliana OX=3702 GN=TBL38 PE=2 SV=1,0,Athaliana,26.027,15,5,25,4,380,42.7,9.16,44.66,5,ath:AT1G29050; Q8VY22; Q9LP35,0,1350354.693,2544169.621,1580443.573,604870.9814,1615932.573,5075548.019,829500.1391,3583384.25,-0.869021898,0.254874573,,,,,,
High,IsMasterProtein,Q9M879,"Stearoyl-[acyl-carrier-protein] 9-desaturase 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=S-ACP-DES5 PE=1 SV=1",0,Athaliana,47.449,35,11,18,3,396,45.3,6.23,26.49,11,ath:AT3G02630; Q8L468; Q8LBC6; Q9M879,1,873054.0836,556615.2272,,50147.88755,12121929.57,2201168.239,719275.7551,87045.1875,-2.938828187,0.343333092,,,,,,
High,IsMasterProtein,Q8RWZ1,Protein STRUBBELIG OS=Arabidopsis thaliana OX=3702 GN=SUB PE=1 SV=1,0,Athaliana,7.304,3,1,7,1,768,84.4,8.88,18.94,1,ath:AT1G11130; O04081; Q8RWZ1; Q9SXA2,0,651217.0802,1103970.017,1240085.075,2166055.884,572257.5312,689297.4005,1730818.535,715660.4375,0.477087897,0.438500245,,,,,,
High,IsMasterProtein,Q94A82,"Nudix hydrolase 19, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=NUDT19 PE=1 SV=1",0,Athaliana,44.021,20,8,21,8,438,48.3,6.01,39.22,8,ath:AT5G20070; Q0WV54; Q0WVK5; Q94A82,0,12279307.47,852559.0817,6444618.192,2212817.279,19558516.03,5177413.474,3913325.254,5889635,-0.664601725,0.219731643,,,,,,
High,IsMasterProtein,P27323,Heat shock protein 90-1 OS=Arabidopsis thaliana OX=3702 GN=HSP90-1 PE=1 SV=3,0,Athaliana,66.326,26,17,66,7,700,80.6,5.05,91.28,17,ath:AT5G52640; P27323; Q03930; Q8H0Z5; Q96268; Q9LTF3,0,13315119.75,479283.9111,254227.1544,1178678.804,649156.0481,529194.1999,283700.1049,,2.965558665,0.42627425,,,,,,
High,IsMasterProtein,A0A1P8AXC1,FtsH extracellular protease family OS=Arabidopsis thaliana OX=3702 GN=VAR2 PE=1 SV=1,0,Athaliana,11.996,5,3,7,3,699,74.6,6.35,9.71,3,A0A1P8AXC1,0,994053.5856,958789.579,,596170.5101,1111956.49,1321795.568,571312.6507,1808940.25,-0.502261016,0.230896908,,,,,,
High,IsMasterProtein,Q9LF30,Small ribosomal subunit protein eS19y OS=Arabidopsis thaliana OX=3702 GN=RPS19B PE=2 SV=1,0,Athaliana,17.195,35,5,6,1,143,15.8,10.14,4.88,5,ath:AT5G15520; Q9LF30,2,2964209.13,796064.3189,2343085.807,,,349731.2147,2016796.803,1058673.875,0.833414485,0.098128494,,,,,,
High,IsMasterProtein,Q949P3,Damage-control phosphatase At2g17340 OS=Arabidopsis thaliana OX=3702 GN=At2g17340 PE=1 SV=1,0,Athaliana,136.723,63,20,127,17,367,40.8,4.92,260.82,20,ath:AT2G17340; Q7XJS9; Q8LCJ8; Q949P3,3,92353794.77,33058177.59,43818196.69,19127098.09,169414184.7,64280138.05,43468662.55,34972417.02,-0.728700301,0.160390584,,,,,,
High,IsMasterProtein,P28493,Pathogenesis-related protein 5 OS=Arabidopsis thaliana OX=3702 GN=At1g75040 PE=1 SV=1,0,Athaliana,228.719,74,20,788,20,239,25.2,4.98,1683,20,ath:AT1G75040; P28493,0,6020320643,5176206997,6771770554,17822723820,8370026186,6505451063,19775850025,15443215615,-0.48505571,0.358216894,,,,,,
High,IsMasterProtein,A0A1P8B5H3,Chloroplast thylakoid lumen protein OS=Arabidopsis thaliana OX=3702 GN=MPH2 PE=1 SV=1,0,Athaliana,63.512,39,8,110,8,266,29.7,9.35,213.93,8,A0A1P8B5H3,0,143949520.6,388308954.7,183033195.3,116072012.6,41704928.13,184059775.3,118634484.1,218249069.3,0.563246433,0.369093185,,,,,,
High,IsMasterProtein,Q9SUL1,Probable cysteine protease RD19C OS=Arabidopsis thaliana OX=3702 GN=RD19C PE=2 SV=1,0,Athaliana,33.884,23,5,33,5,373,41.2,6.96,92.79,5,ath:AT4G16190; Q9SUL1,0,2586030.994,10930804.71,5490736.838,5965140.928,9974043.512,4856176.119,8160203.047,8941469.125,-0.354645439,0.580802226,,,,,,
High,IsMasterProtein,Q9CAK8,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ISPF PE=1 SV=1",0,Athaliana,52.617,39,7,48,7,231,24.8,8.79,92.44,7,ath:AT1G63970; Q8LE87; Q9CAK8; Q9GDE3; Q9SH48,0,53260671.24,15084364.25,19203831.27,7413080.919,25759684.74,35686497.47,22279935.59,31452792,-0.278455142,0.696890772,,,,,,
High,IsMasterProtein,Q9FIH8,"Stromal processing peptidase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SPP PE=2 SV=1",0,Athaliana,27.912,7,7,10,7,1265,140.5,6.58,19.09,7,ath:AT5G42390; O48870; Q9FIH8,0,,478188.2782,1242347.106,,2576707.222,1039395.149,,,-1.071577958,#DIV/0!,,,,,,
High,IsMasterProtein,P30186,Proteasome subunit alpha type-7-A OS=Arabidopsis thaliana OX=3702 GN=PAD1 PE=1 SV=1,0,Athaliana,58.174,57,11,53,3,250,27.3,7.37,102.08,11,ath:AT3G51260; P30186; Q41942; Q8LB36,8,35199536.07,32222927.76,35445954.5,14219267.95,24900430.34,35648703.97,38849219.72,45186617.94,-0.304328247,0.485168264,,,,,,
High,IsMasterProtein,F4KHY7,General regulatory factor 8 OS=Arabidopsis thaliana OX=3702 GN=GRF8 PE=1 SV=1,0,Athaliana,143.038,65,18,169,7,260,29.5,5.39,346.07,18,F4KHY7,8,152434726.1,90302986.94,166951115.1,41864866.28,203355003.3,124591807.3,158694599.5,97970005.97,-0.372580452,0.10711826,,,,,,
High,IsMasterProtein,Q02166,"Anthranilate phosphoribosyltransferase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAT1 PE=2 SV=1",0,Athaliana,54.284,28,10,40,10,444,46.5,7.27,79.96,10,ath:AT5G17990; Q02166; Q42557,0,4620282.857,15227774.06,17780387.39,3013209.656,7362343.024,18644252.08,10539428.35,18493167.63,-0.437500151,0.495267963,,,,,,
High,IsMasterProtein,P42645,14-3-3-like protein GF14 upsilon OS=Arabidopsis thaliana OX=3702 GN=GRF5 PE=1 SV=2,0,Athaliana,134.697,68,19,191,5,268,30.2,4.81,382.59,19,ath:AT5G16050; P42645,0,26231567.13,16207902.34,26983731.43,8123558.652,26907501.67,26647655.07,23413942.6,18413021.13,-0.298652359,0.294468272,,,,,,
High,IsMasterProtein,Q9SIR5,AmmeMemoRadiSam system protein B OS=Arabidopsis thaliana OX=3702 GN=At2g25280 PE=1 SV=1,0,Athaliana,75.157,65,14,40,14,291,32.6,6.84,82.28,14,ath:AT2G25280; Q9SIR5,0,9622579.762,6817220.306,8220945.69,1952630.563,11446137.76,10588863.35,5418813.714,7952397.781,-0.411850977,0.325112671,,,,,,
High,IsMasterProtein,A0A1P8B6G3,Proteasome component (PCI) domain protein OS=Arabidopsis thaliana OX=3702 GN=At4g19006 PE=1 SV=1,0,Athaliana,31.843,18,6,22,3,439,50.2,5.5,48.94,6,A0A1P8B6G3,2,2895452.818,2959756.356,5605996.79,769090.7381,5679047.69,2603574.871,4035618.669,3754100.875,-0.394120774,0.460906794,,,,,,
High,IsMasterProtein,Q9LV21,T-complex protein 1 subunit delta OS=Arabidopsis thaliana OX=3702 GN=CCT4 PE=1 SV=1,0,Athaliana,50.463,26,12,22,12,536,57.7,7.68,36.91,12,ath:AT3G18190; Q8L994; Q9LV21,0,3855873.378,5912006.462,8676138.841,1775654.155,4571913.85,2602913.235,3295319.372,1975219.281,0.700151026,0.273469292,,,,,,
High,IsMasterProtein,Q9FNN1,Pyruvate kinase OS=Arabidopsis thaliana OX=3702 GN=MAH20.13 PE=1 SV=1,0,Athaliana,96.189,42,21,94,7,510,54.9,6.29,141.22,21,A0A178UBM6; ath:AT5G08570; Q9FNN1,12,55167075.08,27344351.24,40965456.25,13833956.8,37480547.79,55183397.44,40557628.53,36316177.63,-0.304161041,0.500359092,,,,,,
